AÃ‘O,porcentajeAumentoRecaudo- 5% estrato5,Recaudo 5% estrato5,porcentajeAumentoRecaudo- 2% estrato4,Recaudo 2% estrato4,porcentajeAumentoRecaudo- 2% estrato3,Recaudo 2% estrato3
2000,0.041304635912349286,7555131797.269409,0.0783285635141741,7823756984.402344,0.09529119468729987,7946828475.41626
2001,0.004567169756765004,6279006933.861023,0.15474569873457927,7217691825.38208,0.35722164299865455,8483259620.397736
2002,0.002757093381431267,24189165675.00818,0.008640973004575437,24331100486.494873,0.0819717543977285,26100033792.381805
2003,0.0063729911283210965,24491525114.41745,0.012153247267607276,24632195909.094055,-0.02451333383733312,23739862251.58539
2004,0.006085326117078111,25436451123.15387,-0.03524744456919959,24391451286.60553,0.043356663729373905,26378767378.901947
2005,0.006121140040781889,54815533131.555786,0.013016757890649084,55191220465.4852,0.05461591352830748,57457627365.56125
2006,0.042011179567627475,57382821005.90224,0.04571644225178772,57586867209.584274,0.055412502249545144,58120822397.61275
2007,1.9353678768025872e-05,63456454392.12581,0.004734340733629216,63755644962.69388,0.0034073596047907296,63671441074.86752
2008,0.0018399931454478149,57056477886.81845,0.005998445381084122,57293308757.665436,-0.02630323245858188,55453673706.18425
2009,-0.015982587723546177,56779308168.50392,0.004112473779028459,57938823920.44589,0.029524662311343996,59405146026.04202
2010,-0.00482904869975692,86960005651.32729,0.003989755946912201,87730610240.32812,-0.0007574344277620118,87315791357.93387
2011,-0.005621937173625309,121128736625.9144,0.0018957775070302565,122044496250.57227,0.014985161659130207,123638960795.62526
2012,0.0007020549182531935,185080815246.5044,-0.005290512245899879,183972484139.64813,0.00917145081154395,186647238228.12173
2013,0.002854670372268753,191233340506.08167,0.0023442002465332407,191135999475.26538,0.015202153674958117,193587869580.5086
2014,0.0026513870432905992,200106812736.50107,0.0002327912460617284,199624115058.58875,0.003996629692412072,200375293109.99033
2015,-0.003874407445598511,218297999685.70618,0.0007328789673470882,219307672979.35788,0.00666857647046801,220608463664.1429
2016,0.0007752319931826014,282144627276.617,0.004521282655926076,283200736614.8688,0.0012128314575903794,282267997973.48755
2017,0.0015862578058884402,448128218997.645,0.0003685145211788384,447583378126.3568,-0.001366595998585057,446807057583.8913
2018,0.001116417143670884,489482936366.558,0.000974091495736863,489413348080.043,-0.001983805107510204,487967122755.9624
2019,0.0014998300843844506,549046248583.9002,0.00024930522581952303,548360680836.6764,-0.0008532682026188028,547756223615.12964
2020,-0.002550837808419293,578935359045.8801,-0.0004315074479161181,580165452096.9374,0.014694203294415809,588944655199.5754
